0,0,1,76
0,1,1,101
0,2,1,82
0,3,1,77
0,4,1,81
0,5,1,71
0,6,1,79
0,7,1,96
0,8,1,91
0,9,1,82
1,0,1,83
1,1,1,74
1,2,1,78
1,3,1,79
1,4,1,70
1,5,1,106
1,6,1,107
1,7,1,88
1,8,1,84
1,9,1,81
2,0,1,103
2,1,1,87
2,2,1,71
2,3,1,91
2,4,1,78
2,5,1,89
2,6,1,83
2,7,1,99
2,8,1,90
2,9,1,95
3,0,1,91
3,1,1,103
3,2,1,78
3,3,1,105
3,4,1,85
3,5,1,81
3,6,1,90
3,7,1,72
3,8,1,84
3,9,1,94
4,0,1,89
4,1,1,113
4,2,1,100
4,3,1,95
4,4,1,81
4,5,1,97
4,6,1,86
4,7,1,87
4,8,1,103
4,9,1,93
5,0,1,86
5,1,1,94
5,2,1,95
5,3,1,79
5,4,1,75
5,5,1,93
5,6,1,90
5,7,1,90
5,8,1,85
5,9,1,76
6,0,1,84
6,1,1,63
6,2,1,78
6,3,1,86
6,4,1,71
6,5,1,83
6,6,1,73
6,7,1,88
6,8,1,89
6,9,1,74
7,0,1,82
7,1,1,56
7,2,1,90
7,3,1,98
7,4,1,78
7,5,1,84
7,6,1,90
7,7,1,87
7,8,1,86
7,9,1,66
8,0,1,101
8,1,1,85
8,2,1,87
8,3,1,95
8,4,1,89
8,5,1,94
8,6,1,94
8,7,1,105
8,8,1,111
8,9,1,85
9,0,1,76
9,1,1,63
9,2,1,102
9,3,1,79
9,4,1,76
9,5,1,93
9,6,1,73
9,7,1,78
9,8,1,86
9,9,1,73
0.500000,7.500000
1.500000,0.500000
2.500000,5.500000
2.500000,7.500000
2.500000,8.500000
3.500000,2.500000
4.500000,1.500000
4.500000,4.500000
4.500000,6.500000
5.500000,1.500000
5.500000,8.500000
5.500000,9.500000
6.500000,2.500000
6.500000,4.500000
6.500000,5.500000
7.500000,2.500000
7.500000,7.500000
7.500000,8.500000
8.500000,1.500000
8.500000,5.500000
9.500000,1.500000
9.500000,3.500000
9.500000,5.500000
9.500000,7.500000
9.500000,9.500000
